"University of Texas at San Antonio Schedule of Classes"
""
"These are the search criteria you submitted :"
"Term: Fall 2015"
"Subject:     CS "
"Course Number: %"
"Attributes: Any"
"Part of Term: Any"
Time Blocks: Any
"Campus: Any"
""
"FALL 2015 (201610)"
"Status","Subject","Course","Section","CRN","Title","Cred","Meeting Days","Times","Campus","Location","Instructor","Date","Weeks","Seats","Enrolled","Available","Final Exam","Fees","Notes","Comments"
"OPEN","CS","1711","004","17273","Intro Comp Prog II Recitation",  1,"W","12:00-12:50pm","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.002 is required.
"OPEN","CS","1711","005","16285","Intro Comp Prog II Recitation",  1,"M","4:00-4:50pm","Main Camp","TBA","Staff",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.003 is required.
"OPEN","CS","1711","006","16286","Intro Comp Prog II Recitation",  1,"W","4:00-4:50pm","Main Camp","TBA","Staff",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.003 is required.
"OPEN","CS","1713","001","10344","Intro to Computer Program II",  3,"TR","8:30-9:45am","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 1711.001 or CS 1711.002 is required.
"OPEN","CS","1713","002","17274","Intro to Computer Program II",  3,"MWF","11:00-11:50am","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 1711.003 or CS 1711.004 is required.
"OPEN","CS","1713","003","16152","Intro to Computer Program II",  3,"MWF","3:00-3:50pm","Main Camp","TBA","Staff",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 1711.005 or CS 1711.006 is required
"OPEN","CS","2073","001","12913","Comp Prog W/Egr Application",  3,"TR","6:00-7:15pm","Main Camp","TBA","Cardenas, Aimee M.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","2073","002","10141","Comp Prog W/Egr Application",  3,"TR","2:30-3:45pm","Main Camp","TBA","Cardenas, Aimee M.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","2073","003","16564","Comp Prog W/Egr Application",  3,"MW","4:00-5:15pm","Main Camp","TBA","Cardenas, Aimee M.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","2121","001","12848","Data Structures Recitation",  1,"W","11:00-11:50am","Main Camp","TBA","Korkmaz, Turgay  .",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.001 is required.
"OPEN","CS","2121","002","12849","Data Structures Recitation",  1,"F","11:00-11:50am","Main Camp","TBA","Korkmaz, Turgay  .",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.001 is required.
"OPEN","CS","2121","003","14411","Data Structures Recitation",  1,"M","10:00-10:50am","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.002 is required.
"OPEN","CS","2121","004","14412","Data Structures Recitation",  1,"W","10:00-10:50am","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 2123.002 is required.
"CLOSED","CS","2123","001","12844","Data Structures",  3,"TR","8:30-9:45am","Main Camp","TBA","Korkmaz, Turgay  .",08/18-12/12,17,60,0,60,To be determined by instructor ,   $30,CKO,Concurrent enrollment in CS 2121.001 or CS 2121.002 is required.
"CLOSED","CS","2123","002","12846","Data Structures",  3,"MWF","9:00-9:50am","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,60,0,60,To be determined by instructor ,   $30,CKO,Concurrent enrollment in CS 2121.003 or CS 2121.004 is required.
"OPEN","CS","2233","001","12855","Discrete Math Structures",  3,"MWF","10:00-10:50am","Main Camp","TBA","Sherette, Jonathan L.",08/18-12/12,17,64,0,64,To be determined by instructor ,   $30,OW, 
"OPEN","CS","2233","002","15681","Discrete Math Structures",  3,"TR","10:00-11:15am","Main Camp","TBA","Ruan, Jianhua",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","2233","003","19039","Discrete Math Structures","  3","TR","4:00-5:15pm","Main Camp","TBA","Tian, Qi",08/18-12/12,17,66,0,66,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3333","001","12859","Math Found of CS",  3,"MWF","12:00-12:50pm","Main Camp","TBA","Sherette, Jonathan L.",08/18-12/12,17,119,0,119,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3333","002","19040","Math Found of CS","  3","TR","11:30-12:45pm","Main Camp","TBA","Gibson, Matthew R.",08/18-12/12,17,50,0,50,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3341","001","10626","Analysis of Algorithms Recitat",  1,"T","6:00-6:50pm","Main Camp","TBA","Ruan, Jianhua",08/18-12/12,17,80,0,80,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3343.001 is required.
"OPEN","CS","3341","002","14202","Analysis of Algorithms Recitat",  1,"R","6:00-6:50pm","Main Camp","TBA","Ruan, Jianhua",08/18-12/12,17,80,0,80,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3343.001 is required.
"OPEN","CS","3343","001","10287","Analysis Of Algorithms",  3,"TR","4:00-5:15pm","Main Camp","TBA","Ruan, Jianhua",08/18-12/12,17,66,0,66,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3341.001 or CS 3341.002 is required.
"OPEN","CS","3421","001","12865","Systems Programming Recitation",  1,"M","1:00-1:50pm","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3423.001 is required.
"OPEN","CS","3421","002","14186","Systems Programming Recitation",  1,"W","1:00-1:50pm","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3423.001 is required.
"OPEN","CS","3421","003","15732","Systems Programming Recitation",  1,"T","4:00-4:50pm","Main Camp","TBA","Lama, Palden",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3423.002 is required.
"OPEN","CS","3421","004","16287","Systems Programming Recitation",  1,"R","4:00-4:50pm","Main Camp","TBA","Lama, Palden",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3423.002 is required.
"OPEN","CS","3423","001","12864","Systems Programming",  3,"MWF","11:00-11:50am","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,58,0,58,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3421.001 or CS 3421.002 is required.
"OPEN","CS","3423","002","15731","Systems Programming",  3,"TR","2:30-3:45pm","Main Camp","TBA","Lama, Palden",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3421.003 or CS 3421.004 is required.
"OPEN","CS","3433","001","13010","Computer and Info. Security",  3,"MWF","9:00-9:50am","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,44,0,44,To be determined by instructor ,   $30,BOW, 
"OPEN","CS","3443","001","16154","Application Programming",  3,"MWF","12:00-12:50pm","Main Camp","TBA","Bylander, Thomas",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3443","002","16164","Application Programming",  3,"TR","11:30-12:45pm","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3723","001","10514","Programming Languages",  3,"MWF","10:00-10:50am","Main Camp","TBA","von Ronne, Jeffery",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3731","001","10628","Operating Systems Recitation",  1,"F","10:00-10:50am","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3733.001 is required.
"OPEN","CS","3731","002","16289","Operating Systems Recitation",  1,"F","3:00-3:50pm","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3733.001 is required.
"OPEN","CS","3731","003","19041","Operating Systems Recitation","  1","T","2:30-3:20pm","Main Camp","TBA","Zhu, Dakai",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO, 
"OPEN","CS","3731","004","19042","Operating Systems Recitation","  1","R","2:30-3:20pm","Main Camp","TBA","Zhu, Dakai",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO, 
"OPEN","CS","3733","001","10121","Operating Systems",  3,"MWF","1:00-1:50pm","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3731.001 or CS 3731.002 is required.
"OPEN","CS","3733","002","19043","Operating Systems","  3","TR","1:00-2:15pm","Main Camp","TBA","Zhu, Dakai",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,KO, 
"OPEN","CS","3743","001","17289","Intro to Database Systems",  3,"MWF","10:00-10:50am","Main Camp","TBA","Zhang, Weining",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,OW, 
"OPEN","CS","3773","001","16165","Software Engineering",  3,"MWF","1:00-1:50pm","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,W, 
"OPEN","CS","3793","001","19044","Intro Artificial Intelligence","  3","MW","6:00-7:15pm","Main Camp","TBA","Bylander, Thomas",08/18-12/12,17,32,0,32,To be determined by instructor ,   $30,O,Cross-listed with (CS 3793;CS 5233).  Credit can only be earned for one of these classes.
"OPEN","CS","3841","001","12869","Comp Org Recitation",  1,"T","2:30-3:20pm","Main Camp","TBA","Tian, Qi",08/18-12/12,17,30,0,30,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.001 is required.
"OPEN","CS","3841","002","14450","Comp Org Recitation",  1,"R","2:30-3:20pm","Main Camp","TBA","Tian, Qi",08/18-12/12,17,38,0,38,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.001 is required.
"OPEN","CS","3841","003","18125","Comp Org Recitation",  1,"W","2:00-2:50pm","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3843.002 is required.
"OPEN","CS","3841","004","19045","Comp Org Recitation","  1","F","2:00-2:50pm","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO, 
"OPEN","CS","3843","001","12866","Computer Organization",  3,"TR","1:00-2:15pm","Main Camp","TBA","Tian, Qi",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3841.001 or CS 3841.002 is required.
"OPEN","CS","3843","002","18123","Computer Organization",  3,"MWF","1:00-1:50pm","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,50,0,50,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3841.003and CS 3841.004 is required.
"OPEN","CS","3851","001","12872","Comp Architecture Recitation",  1,"M","12:00-12:50pm","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,30,0,30,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3853.001 is required.
"OPEN","CS","3851","002","14453","Comp Architecture Recitation",  1,"F","12:00-12:50pm","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 3853.001 is required.
"OPEN","CS","3851","003","19046","Comp Architecture Recitation","  1","M","3:00-3:50pm","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO, 
"OPEN","CS","3851","004","19047","Comp Architecture Recitation","  1","W","3:00-3:50pm","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO, 
"OPEN","CS","3853","001","12870","Computer Architecture",  3,"MWF","11:00-11:50am","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,KO,Concurrent enrollment in CS 3851.001 or CS 3851.002 is required.
"OPEN","CS","3853","002","19048","Computer Architecture","  3","MWF","2:00-2:50pm","Main Camp","TBA","Maynard, Hugh B.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,KO, 
"OPEN","CS","3873","001","19049","Computer Networks","  3","MW","7:30-8:45pm","Main Camp","TBA","Murphy, Richard L.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,OW, 
"OPEN","CS","4383","001","19050","Computer Graphics","  3","TR","1:00-2:15pm","Main Camp","TBA","Quarles, John P.",08/18-12/12,17,20,0,20,To be determined by instructor ,   $30,O,Cross-listed with (CS 4383;CS 5113).  Credit can only be earned for one of these classes.
"OPEN","CS","4393","001","14028","User Interfaces",  3,"TR","4:00-5:15pm","Main Camp","TBA","Quarles, John P.",08/18-12/12,17,35,0,35,To be determined by instructor ,   $30,,Cross-listed with (CS 5153;CS 4393). Credit can only be earned for one of these classes.
"OPEN","CS","4413","01","17981","Web Technologies",  3,"MWF","9:00-9:50am","Main Camp","TBA","Robbins, Kay A.",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","4593","003","17299","AT: Cyber Operations",  3,"MW","6:00-7:15pm","Main Camp","TBA","White, Gregory B.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,OW, 
"OPEN","CS","4593","005","19051","AT: Software Foundations","  3","MWF","2:00-2:50pm","Main Camp","TBA","von Ronne, Jeffery",08/18-12/12,17,50,0,50,To be determined by instructor ,   $30,OW, 
"OPEN","CS","4773","001","17301","Object Oriented Systems",  3,"TR","11:30-12:45pm","Main Camp","TBA","Niu, Jianwei",08/18-12/12,17,40,0,40,To be determined by instructor ,   $30,W, 
"OPEN","CS","4823","001","19052","Intro to Parallel Programming","  3","TR","2:30-3:45pm","Main Camp","TBA","Chronopoulos, Anthony",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","4913","001","10722","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","002","10750","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","003","10896","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","004","10968","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","005","10969","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","006","10970","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","007","10971","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","008","11013","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","009","11014","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","010","11016","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","011","11017","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","012","11293","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","013","11294","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","014","11295","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","015","11296","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","016","11297","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","017","10219","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","018","11855","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","019","11856","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","020","12011","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","021","12357","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","022","12012","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","023","12013","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","024","12014","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","025","12968","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4913","026","13688","Independent Study",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,5,0,5,To be determined by instructor ,   $30,GO, 
"OPEN","CS","4933","001","10973","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","002","10606","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","003","11344","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","004","11345","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","005","11346","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","006","11347","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","007","11348","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","008","11349","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","009","11350","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","010","11351","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","011","11352","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","012","11353","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","013","11354","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","014","11355","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","015","11356","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","016","11357","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","017","10972","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","018","11875","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","019","11876","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","020","12193","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","021","12194","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","022","12284","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","023","12285","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,B, 
"OPEN","CS","4933","024","12287","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","025","12969","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4933","026","13689","Internship in Computer Science",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,5,0,5,To be determined by instructor ,   $30,BO, 
"OPEN","CS","4993","001","10795","Honors Research",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,AO, 
"OPEN","CS","4993","002","10974","Honors Research",  3,"TBA","TBA","Main Camp","TBA","Staff",08/18-12/12,17,10,0,10,To be determined by instructor ,   $30,AO, 
